Channel ID,Video ID,Title,Published At,Views,Likes,Comments,Description,Transcript_Available,Classification
UCuyl9HIbX_fYTuJbLEz1KQw,x5Ru3hKFSwI,Accommodation Anomalies: Clinical Insight and Treatment Approaches,2025-06-23T11:49:20Z,93,2,0,"Dr. Fathima. A 
Aravind Eye Hospital, Tirunelveli",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,mVI5UX68QsA,Comprehensive Optical management following pediatric cataract surgery,2025-06-23T11:47:01Z,82,5,0,"Dr. AnjaIi Khadia 
Aravind Eye Hospital, Pondicherry",Yes,patient interaction
UCuyl9HIbX_fYTuJbLEz1KQw,p5-oorQB19E,Smart choices: Selecting the Right frames and lenses for kids,2025-06-23T11:46:17Z,29,0,0,"Dr. Arokiam John Bosco 
GH- Pondicherry",Yes,
UCuyl9HIbX_fYTuJbLEz1KQw,n5BSbf5UR5I,Managing convergence and fusion disorders has been simplified,2025-06-23T11:45:02Z,40,2,0,"Dr. Nirupama Kasturi 
JIPMER 
Pondicherry",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,HmLjw8QC1rA,"Precision in practice: Clinical assessment of Convergence, Accommodation, and BSV",2025-06-23T11:43:40Z,37,4,0,"Dr. Sivagami. N 
Aravind Eye Hospital, Pondicherry",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,89j3lF0Aouw,Headache in children: An Ophthalmologist’s perspective,2025-06-23T11:41:54Z,30,2,0,"Dr. Srikanth. K 
MGMCRI 
Pondicherry",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,ncwfSlqZBz8,Beyond patching: Newer modalities of Amblyopia management,2025-06-23T11:40:32Z,33,3,0,"Dr. Janani. R 
Aravind Eye Hospital, Salem",Yes,new technology review
UCuyl9HIbX_fYTuJbLEz1KQw,F-_8Ga_MEqk,The Art and science of patching for Amblyopia -How and when to start and stop,2025-06-23T11:38:55Z,32,3,0,"Dr. Saranya. S 
Aravind Eye Hospital, Chennai",Yes,research update
UCuyl9HIbX_fYTuJbLEz1KQw,engUewac2qU,“Setting up a Myopia clinic” A step-by-step Guide,2025-06-23T11:38:14Z,29,4,0,"Dr. Jitendra Jethani
Baroda Children Eyecare and Squint Clinic, Vadodara",Yes,conference highlight
UCuyl9HIbX_fYTuJbLEz1KQw,0u_20k3gMgE,Beyond spectacles: Ortho-K and Red-light therapy in Myopia management,2025-06-23T11:38:04Z,10,0,0,"Dr. Abinaya Valliappan 
Sankara Nethralaya, 
Chennai",Yes,new technology review
